Wavelength/nm,(NEA)2PbI4,Curve1
350.294,0.89321,
354.806,0.89322,
359.411,0.89269,
364.093,0.8927,
370.113,0.89271,
377.135,0.89272,
384.325,0.89318,
392.853,0.89275,
400.879,0.89321,
409.239,0.89278,
417.934,0.89279,
425.124,0.89281,
434.823,0.89193,
445.022,0.89329,
452.881,0.89286,
459.235,0.89287,
465.254,0.89332,
471.107,0.89378,
476.959,0.8929,
484.818,0.89291,
492.175,0.89382,
496.857,0.89427,
501.037,0.89517,
504.38,0.89874,
506.218,0.90275,
508.39,0.90899,
510.896,0.91657,
512.232,0.92459,
513.4,0.93172,
514.068,0.93707,
515.069,0.9442,
515.903,0.95088,
516.905,0.95801,
517.906,0.96604,
518.573,0.97183,
519.408,0.97718,
520.41,0.98119,
521.58,0.98164,
523.254,0.97674,
525.263,0.96739,
526.77,0.95981,
528.11,0.95135,
529.449,0.94423,
530.789,0.93487,
531.962,0.92775,
533.468,0.92107,
534.64,0.91661,
536.314,0.91082,
539.158,0.90593,
542.001,0.90237,
546.015,0.8997,
549.192,0.89837,
553.205,0.89704,
557.051,0.8966,
560.563,0.89661,
564.074,0.89617,
,,
#,(PEA)2PbI4,Curve2
350.404,0.8107,
355.922,0.81071,
359.935,0.81072,
364.115,0.81028,
369.633,0.81029,
373.98,0.8103,
380.167,0.81075,
384.013,0.81031,
389.363,0.81077,
395.049,0.81033,
402.406,0.81124,
411.268,0.81036,
417.454,0.81126,
423.307,0.81083,
431.166,0.81084,
437.185,0.81085,
444.041,0.81131,
449.559,0.81087,
456.581,0.81089,
463.771,0.8109,
469.289,0.81091,
474.807,0.81092,
480.659,0.81138,
487.014,0.8105,
493.367,0.81184,
499.386,0.81275,
503.399,0.81498,
507.577,0.82212,
510.083,0.83103,
513.257,0.84084,
514.926,0.85198,
516.262,0.86178,
517.763,0.87381,
518.596,0.8854,
520.099,0.8952,
521.435,0.90055,
522.437,0.90323,
523.776,0.89922,
524.948,0.89209,
525.954,0.88363,
527.294,0.87294,
528.133,0.86358,
528.803,0.85824,
530.143,0.85022,
531.65,0.84087,
534.161,0.83196,
535.667,0.82707,
537.34,0.82306,
539.347,0.82039,
542.358,0.81728,
546.372,0.8155,
549.716,0.81417,
553.729,0.81373,
557.074,0.81285,
559.582,0.81285,
563.762,0.81286,
,,
#,(PMA)2PbI4,Curve3
352.269,0.71269,
352.772,0.70556,
353.777,0.70066,
355.782,0.70468,
356.784,0.71092,
357.452,0.71493,
359.124,0.71359,
360.129,0.70958,
361.467,0.70647,
363.64,0.7087,
365.312,0.71138,
366.482,0.71138,
367.486,0.7096,
369.326,0.70782,
